2005021523   120.50,  25.00,   5.88,  196.71
2005021602   120.50,  25.00,   6.40,  206.93
2005021605   120.50,  25.00,   6.76,  205.96
2005021608   120.50,  25.00,   6.99,  189.14
2005021611   120.50,  25.00,   6.73,  226.32
2005021614   120.50,  25.00,   6.03,  263.62
2005021617   120.50,  25.00,   1.78,  271.61
2005021620   120.50,  25.00,   1.91,  108.91
2005021623   120.50,  25.00,   3.84,   97.62
2005021702   120.50,  25.00,   2.28,  102.15
2005021705   120.50,  25.00,   6.33,   31.51
2005021708   120.50,  25.00,   7.87,   44.43
2005021711   120.50,  25.00,   8.08,   27.96
2005021714   120.50,  25.00,   8.93,   24.47
2005021717   120.50,  25.00,  10.05,   24.76
2005021720   120.50,  25.00,  10.69,   47.88
2005021723   120.50,  25.00,   9.89,   50.00
2005021802   120.50,  25.00,   8.81,   37.81
2005021805   120.50,  25.00,   9.50,   28.75
2005021808   120.50,  25.00,   9.25,   38.51
2005021811   120.50,  25.00,  11.57,   36.11
2005021814   120.50,  25.00,  12.07,   39.32
2005021817   120.50,  25.00,  12.41,   42.71
2005021820   120.50,  25.00,  11.50,   50.61
2005021823   120.50,  25.00,  13.50,   37.39
2005021902   120.50,  25.00,  14.14,   31.03
2005021905   120.50,  25.00,  12.92,   31.33
2005021908   120.50,  25.00,  11.59,   42.66
2005021911   120.50,  25.00,  13.74,   33.39
2005021914   120.50,  25.00,  14.53,   35.76
2005021917   120.50,  25.00,  14.76,   37.76
2005021920   120.50,  25.00,  13.72,   45.65
2005021923   120.50,  25.00,  14.98,   38.03
2005022002   120.50,  25.00,  14.79,   35.98
2005022005   120.50,  25.00,  14.12,   38.24
2005022008   120.50,  25.00,  13.44,   41.08
2005022011   120.50,  25.00,  13.63,   37.85
2005022014   120.50,  25.00,  13.08,   39.29
2005022017   120.50,  25.00,  13.02,   41.45
2005022020   120.50,  25.00,  12.77,   44.62
2005022023   120.50,  25.00,  12.39,   50.40
2005022102   120.50,  25.00,  12.24,   52.14
2005022105   120.50,  25.00,  12.37,   58.89
2005022108   120.50,  25.00,  11.92,   52.47
2005022111   120.50,  25.00,  10.77,   53.19
2005022114   120.50,  25.00,  11.73,   43.41
2005022117   120.50,  25.00,  10.72,   51.44
